car,motorcycle,bus,truck,total,bbox_area_ratio,mean_bbox_area,max_bbox_area,brightness,sharpness,edge_density,zone_top,zone_mid,zone_bottom,bottom_motor,mid_car,cluster_density,crowd_density,is_night,is_rain,filepath,cam_id,label
10,25,1,3,39,0.105419921875,2767.948717948718,13572.0,126.1904462890625,327.51208604064084,0.09114453125,12,21,6,6,2,0.105419921875,6.196683883666992,0,0,dataset_cleaned/cam10_20251207_143348.png,cam10,moderate
8,28,1,0,37,0.21003125,5812.756756756757,18705.0,124.23806640625,292.3212142929077,0.0725302734375,7,25,5,6,3,0.21003125,22.49376106262207,0,0,dataset_cleaned/cam08_20251203_171758.png,cam08,congested
12,16,0,4,32,0.1788173828125,5722.15625,57616.0,127.5454248046875,285.46659106170273,0.0910654296875,6,24,2,1,11,0.1788173828125,4.463506698608398,0,0,dataset_cleaned/cam09_20251209_115705.png,cam09,free_flow
3,7,1,0,11,0.029080625000000002,2537.9454545454546,11865.6,87.7932548828125,355.8729967202415,0.035750634765625004,0,10,1,2,3,0.02596484375,8.312479019165039,1,0,dataset_cleaned/cam08_20251205_210252.png,cam08,moderate
11,38,3,0,52,0.3127822265625,6159.403846153846,53406.0,90.40143359375,391.1326906710778,0.082013671875,13,31,8,9,4,0.3127822265625,25.079261779785156,0,0,dataset_cleaned/cam11_20251207_174854.png,cam11,congested
7,6,3,3,19,0.3088564453125,16645.736842105263,189312.0,126.879765625,319.4425704553367,0.1018076171875,7,9,3,1,2,0.3088564453125,4.726861953735352,0,0,dataset_cleaned/cam07_20251209_141150.png,cam07,free_flow
13,17,2,4,36,0.17816015625,5067.666666666667,26560.0,126.2793935546875,303.06477753230996,0.074794921875,22,9,5,6,1,0.17816015625,11.861776351928711,0,0,dataset_cleaned/cam11_20251204_120752.png,cam11,moderate
10,9,10,1,30,0.35980859375,12281.466666666667,120696.0,123.2339384765625,313.9190793727877,0.0741318359375,12,14,4,0,7,0.35980859375,3.194066286087036,0,0,dataset_cleaned/cam11_20251203_140138.png,cam11,free_flow
6,22,1,1,30,0.079232421875,2704.4666666666667,11502.0,125.4265556640625,296.512511188015,0.08851953125,3,27,0,0,6,0.079232421875,6.482703685760498,0,0,dataset_cleaned/cam09_20251209_085157.png,cam09,moderate
5,12,0,0,17,0.044607421875,2686.9411764705883,7004.0,123.0213388671875,332.6299985966101,0.0869580078125,5,10,2,5,1,0.044607421875,15.025117874145508,0,0,dataset_cleaned/cam10_20251205_154432.png,cam10,congested
7,9,0,3,19,0.04640625,2501.0526315789475,7482.0,131.4512607421875,228.2485070158044,0.055404296875,7,12,0,1,5,0.04640625,1.6554059982299805,0,0,dataset_cleaned/cam09_20251206_153504.png,cam09,free_flow
10,26,1,2,39,0.20695609375000004,5094.303846153846,27693.61,89.3455654296875,405.8109585096556,0.053714355468749996,18,18,3,5,2,0.1847822265625,11.546842575073242,1,0,dataset_cleaned/cam11_20251208_204239.png,cam11,moderate
7,2,0,0,9,0.0469599609375,5343.0,22330.0,120.65008984375,273.3394270837059,0.051056640625,2,6,1,1,5,0.0469599609375,5.056397914886475,0,0,dataset_cleaned/cam08_20251204_135030.png,cam08,moderate
11,11,0,2,24,0.1110556640625,4738.375,26676.0,127.5450078125,326.3930856796265,0.093322265625,10,11,3,2,3,0.1110556640625,6.022930145263672,0,0,dataset_cleaned/cam10_20251203_163800.png,cam10,moderate
8,7,1,1,17,0.0990740625,5594.770588235294,22192.38,95.3039248046875,326.84601322631846,0.043422216796874996,9,7,1,1,1,0.088458984375,1.8227474689483643,1,0,dataset_cleaned/cam10_20251206_234348.png,cam10,free_flow
9,13,0,2,24,0.3311962890625,14131.041666666666,158725.0,126.2621513671875,314.6490374241934,0.0735185546875,3,18,3,0,6,0.3311962890625,2.657026767730713,0,0,dataset_cleaned/cam09_20251204_102810.png,cam09,free_flow
9,9,1,3,22,0.26715390625,11657.625,121474.08,103.881384765625,289.0709683665931,0.040780078125,5,15,2,1,7,0.2385302734375,1.6167919635772705,1,0,dataset_cleaned/cam09_20251208_210117.png,cam09,free_flow
13,11,0,0,24,0.07162109375,3055.8333333333335,13090.0,132.0737978515625,238.71530030795185,0.062943359375,4,19,1,1,11,0.07162109375,2.55859112739563,0,0,dataset_cleaned/cam09_20251206_164004.png,cam09,free_flow
7,21,0,3,31,0.1759736328125,5812.806451612903,36720.0,126.074728515625,364.57740438166735,0.1189892578125,6,18,7,9,2,0.1759736328125,11.746877670288086,0,0,dataset_cleaned/cam07_20251209_170134.png,cam07,moderate
7,19,3,0,29,0.13075390625,4616.9655172413795,12508.0,116.5060771484375,330.95806742089854,0.092724609375,7,17,5,6,3,0.13075390625,10.723981857299805,0,0,dataset_cleaned/cam10_20251205_173618.png,cam10,congested
13,7,1,0,21,0.2042236328125,9958.333333333334,43420.0,112.492828125,380.6286121273046,0.0982529296875,5,13,3,3,7,0.2042236328125,9.071950912475586,0,0,dataset_cleaned/cam07_20251206_175453.png,cam07,moderate
12,6,3,3,24,0.21189000000000002,8475.6,80005.25,95.44923828125,308.0255904857507,0.040600781249999995,5,17,2,1,12,0.1891875,9.257187843322754,1,0,dataset_cleaned/cam09_20251205_180032.png,cam09,moderate
11,22,3,2,38,0.23856875000000002,6027.0,37219.05,91.11297265625,399.00991774301957,0.05344541015625,16,14,8,6,1,0.2130078125,10.363242149353027,1,0,dataset_cleaned/cam11_20251207_212354.png,cam11,moderate
6,19,2,3,30,0.34955859375,11931.6,145780.0,120.0558076171875,377.55915350366223,0.1173994140625,9,16,5,8,2,0.34955859375,23.607078552246094,0,0,dataset_cleaned/cam10_20251208_151957.png,cam10,congested
